movie,character,speech_id,text
half_blood_prince_all_speeches,DUMBLEDORE,258,"It is unusual. But not unheard of."
half_blood_prince_all_speeches,DUMBLEDORE,260,Did I know that I had just met the most dangerous Dark Wizard of all time? No. Had I...
half_blood_prince_all_speeches,DUMBLEDORE,261,"Over time, while here at Hogwarts,"
half_blood_prince_all_speeches,DUMBLEDORE,263,"No. I did not. You see, Professor Slughorn possesses something I desire very dearly."
half_blood_prince_all_speeches,DUMBLEDORE,265,I did.
half_blood_prince_all_speeches,DUMBLEDORE,267,Yes.
half_blood_prince_all_speeches,DUMBLEDORE,517,Confused? I would be surprised if you weren’t.
half_blood_prince_all_speeches,DUMBLEDORE,519,This is perhaps the most important memory I’ve collected. It’s also
half_blood_prince_all_speeches,DUMBLEDORE,520,I suspect he is ashamed of it.
half_blood_prince_all_speeches,DUMBLEDORE,522,Why indeed.
half_blood_prince_all_speeches,DUMBLEDORE,523,I asked you to get to know Professor Slughorn and you’ve done so.
half_blood_prince_all_speeches,DUMBLEDORE,525,"You’re the Chosen One, Harry. And Horace is, at heart, a decent man. Provide the proper circumstances"
half_blood_prince_all_speeches,DUMBLEDORE,526,"This memory is everything, Harry. Without it, we are blind. Without it, we leave the fate of our world to chance. You have no choice. You must not fail."
half_blood_prince_all_speeches,DUMBLEDORE,590,"Quick thinking on your part, Harry. Using a Bezoar. You must be very proud of your student, eh, Horace?"
half_blood_prince_all_speeches,DUMBLEDORE,592,"Why indeed."
half_blood_prince_all_speeches,DUMBLEDORE,593,"This appears to be a gift, Horace. You don’t by chance remember who gave you this bottle, do you -- which by the way possesses remarkably subtle hints of licorice and cherry when not polluted with poison."
half_blood_prince_all_speeches,DUMBLEDORE,595,To whom might I ask?
half_blood_prince_all_speeches,DUMBLEDORE,605,"Ah, to be young and feel love’s keen sting. Come, everyone, I think Mr. Weasley is well tended. As Dumbledore leads the others past Harry, Harry studies"
half_blood_prince_all_speeches,DUMBLEDORE,721,"It’s a Horcrux, yes. Four years ago, when you saved Ginny Weasley’s life in the Chamber of Secrets, when you brought me this --"
